1 PERIODO,2 CUO,3 CORRELATIVO,4 CODIGO DE CATALOGO UTILIZADO,5 CODIGO PROPIO DEL ACTIVO FIJO CORRESPONDIENTE AL CATALOGO SENALADO EN EL CAMPO 4,6 CODIGO DE CATALOGO UTILIZADO,7 CODIGO DE EXISTENCIA CORRESPONDIENTE AL CATALOGO SENALADO EN EL CAMPO 6,8 CODIGO DEL TIPO DE ACTIVO FIJO (VALIDAR CON PARAMETRO TABLA 18),9 CODIGO DE LA CUENTA CONTABLE DEL ACTIVO FIJO,10 ESTADO DEL ACTIVO FIJO (VALIDAR CON PARAMETRO TABLA 19),11 DESCRIPCION DEL ACTIVO FIJO,12 MARCA DEL ACTIVO FIJO,13 MODELO DEL ACTIVO FIJO,14 NUMERO DE SERIE Y/O PLACA DEL ACTIVO FIJO,15 IMPORTE DEL SALDO INICIAL DEL ACTIVO FIJO ,16 ADQUISICION,17 IMPORTE DE LAS MEJORAS DEL ACTIVO FIJO,18 IMPORTE DE LOS RETIROS Y/O BAJAS DEL ACTIVO FIJO,19 IMPORTE POR OTROS AJUSTES EN EL VALOR DEL ACTIVO FIJO,20 VALOR DE LA REVALUACION VOLUNTARIA EFECTUADA,21 VALOR DE LA REVALUACION EFECTUADA POR REORGANIZACION DE SOCIEDADES,22 VALOR DE OTRAS REVALUACIONES EFECTUADA,23 IMPORTE DEL VALOR DEL AJUSTE POR INFLACION DEL ACTIVO FIJO,24 FECHA DE ADQUISICION DEL ACTIVO FIJO,25 FECHA DE INICIO DEL USO DEL ACTIVO FIJO,26 CODIGO DEL MÉTODO APLICADO EN EL CALCULO DE LA DEPRECIACION,27 NUMERO DE DOCUMENTO DE AUTORIZACION PARA CAMBIAR EL MÉTODO DE LA DEPRECIACION,FORMULA (NUMÉRICA),29 DEPRECIACION ACUMULADA AL CIERRE DEL EJERCICIO ANTERIOR.,30 VALOR DE LA DEPRECIACION DEL EJERCICIO SIN CONSIDERAR LA REVALUACION,31 VALOR DE LA DEPRECIACION DEL EJERCICIO RELACIONADA CON LOS RETIROS Y/O BAJAS DEL ACTIVO FIJO,32 VALOR DE LA DEPRECIACION RELACIONADA CON OTROS AJUSTES,33 VALOR DE LA DEPRECIACION DE LA REVALUACION VOLUNTARIA EFECTUADA,34 VALOR DE LA DEPRECIACION DE LA REVALUACION EFECTUADA POR REORGANIZACION DE SOCIEDADES,35 VALOR DE LA DEPRECIACION DE OTRAS REVALUACIONES EFECTUADAS,36 VALOR DEL AJUSTE POR INFLACION DE LA DEPRECIACION,37 INDICA EL ESTADO DE LA OPERACION,
20230000,1,M1,9,FAM000001,,,2,322211,9,CONSTRUCCION DATACENTER 1,-,-,-,253573.83,253573.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22/02/2023,01/03/2023,1,0000,3.75,0.00,253573.83,0.00,0.00,0.00,0.00,0.00,0.00,1,
20230000,902,M902,9,FAM000001,,,2,322211,9,CONSTRUCCION DATACENTER 1,-,-,-,253573.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22/02/2023,01/03/2023,1,0000,3.75,1056.56,-1056.56,0.00,0.00,0.00,0.00,0.00,0.00,1,
20230000,903,M903,9,FAM000001,,,2,322211,9,CONSTRUCCION DATACENTER 1,-,-,-,253573.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22/02/2023,01/03/2023,1,0000,3.75,1056.56,-1056.56,0.00,0.00,0.00,0.00,0.00,0.00,1,
20230000,901,M901,9,FAM000001,,,2,322211,9,CONSTRUCCION DATACENTER 1,-,-,-,253573.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22/02/2023,01/03/2023,1,0000,3.75,1056.56,-1056.56,0.00,0.00,0.00,0.00,0.00,0.00,1,
20230000,803,M803,9,FAM000002,,,2,322211,9,CONSTRUCCION DATACENTER 1,-,-,-,3334551.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22/02/2023,01/03/2023,1,0000,3.75,13893.96,-13893.96,0.00,0.00,0.00,0.00,0.00,0.00,1,
20230000,801,M801,9,FAM000002,,,2,322211,9,CONSTRUCCION DATACENTER 1,-,-,-,3334551.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22/02/2023,01/03/2023,1,0000,3.75,13893.96,-13893.96,0.00,0.00,0.00,0.00,0.00,0.00,1,
20230000,2,M2,9,FAM000002,,,2,322211,9,CONSTRUCCION DATACENTER 1,-,-,-,3334551.28,3334551.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22/02/2023,01/03/2023,1,0000,3.75,0.00,3334551.28,0.00,0.00,0.00,0.00,0.00,0.00,1,
20230000,802,M802,9,FAM000002,,,2,322211,9,CONSTRUCCION DATACENTER 1,-,-,-,3334551.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22/02/2023,01/03/2023,1,0000,3.75,13893.96,-13893.96,0.00,0.00,0.00,0.00,0.00,0.00,1,
20230000,906,M906,9,FAM000003,,,2,322411,9,CAMIONETA ANTONELLA BONGIORNO CHEVROLET ,-,-,-,276901.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,01/10/2021,01/11/2021,1,0000,41.67,4615.03,-4615.03,0.00,0.00,0.00,0.00,0.00,0.00,1,
20230000,905,M905,9,FAM000003,,,2,322411,9,CAMIONETA ANTONELLA BONGIORNO CHEVROLET ,-,-,-,276901.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,01/10/2021,01/11/2021,1,0000,41.67,4615.03,-4615.03,0.00,0.00,0.00,0.00,0.00,0.00,1,
20230000,904,M904,9,FAM000003,,,2,322411,9,CAMIONETA ANTONELLA BONGIORNO CHEVROLET ,-,-,-,276901.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,01/10/2021,01/11/2021,1,0000,41.67,4615.03,-4615.03,0.00,0.00,0.00,0.00,0.00,0.00,1,
20230000,804,M804,9,FAM000004,,,2,322411,9,CAMIONETA MAXUS D60 PLATA AÑO 2022,-,-,-,71857.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,01/05/2022,01/06/2022,1,0000,30.00,1197.62,-1197.62,0.00,0.00,0.00,0.00,0.00,0.00,1,
20230000,806,M806,9,FAM000004,,,2,322411,9,CAMIONETA MAXUS D60 PLATA AÑO 2022,-,-,-,71857.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,01/05/2022,01/06/2022,1,0000,30.00,1197.62,-1197.62,0.00,0.00,0.00,0.00,0.00,0.00,1,
20230000,805,M805,9,FAM000004,,,2,322411,9,CAMIONETA MAXUS D60 PLATA AÑO 2022,-,-,-,71857.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,01/05/2022,01/06/2022,1,0000,30.00,1197.62,-1197.62,0.00,0.00,0.00,0.00,0.00,0.00,1,
