1 Periodo,2 CUO,3 Correlativo,4 Codigo del catalogo utilizado,5 Codigo del catalogo utilizado,6 Tipo de Existencia,7 Código Propio de Existencia en el campo 5,8 Codigo del catalogo utilizado,9 Código Propio de Existencia en el campo 8,10 Fecha de Emision,11 Tipo de Documento,12 Numero de Serie del Documento,13 Numero del Documento,14 Codigo de Operación,15 Descripción de la Existencia,16 Codigo de la unidad de medida,17 Entradas de las unidades fisicas,18 Salidas de las unidades fisicas,19 Indica el estado de la operacion,
20231000,115,M115,9999,9,01,10ARTINV0911,,,10/10/2023,31,0000,0,02,Articulo de Inventario Prueba WIN EMPRESAS,NIU,100,0.00,1,
20231000,115,M115,9999,9,01,10ARTINVSER1,,,10/10/2023,31,0000,0,02,Articulo Inventario Serie Prueba WIN EMPRESAS,NIU,50,0.00,1,
20231000,2325,M2325,9999,9,01,10020100400001,,,10/10/2023,01,F001,1,01,PREFORMADO 4 HILOS PARA FO ADSS 24H,NIU,0.00,-2,1,
20231000,2326,M2326,9999,9,01,10020100400001,,,30/10/2023,31,0000,0,01,PREFORMADO 4 HILOS PARA FO ADSS 24H,NIU,100,0.00,1,
20231000,2347,M2347,9999,9,01,10020100400001,,,10/10/2023,01,FWE1,6,01,PREFORMADO 4 HILOS PARA FO ADSS 24H,NIU,0.00,-2,1,
20231000,2349,M2349,9999,9,01,10020100400001,,,10/10/2023,01,FWE1,7,01,PREFORMADO 4 HILOS PARA FO ADSS 24H,NIU,0.00,-2,1,
20231000,2350,M2350,9999,9,01,10020100400001,,,16/10/2023,03,B002,1,01,PREFORMADO 4 HILOS PARA FO ADSS 24H,NIU,0.00,-2,1,
20231000,2351,M2351,9999,9,01,10020100400001,,,25/10/2023,07,FWE1,5,01,PREFORMADO 4 HILOS PARA FO ADSS 24H,NIU,1,0.00,1,
20231000,2842,M2842,9999,9,01,10020100400001,,,10/10/2023,01,0000,9803,01,PREFORMADO 4 HILOS PARA FO ADSS 24H,NIU,10,0.00,1,
20231000,2846,M2846,9999,9,01,10020100400001,,,01/10/2023,01,0000,9001,01,PREFORMADO 4 HILOS PARA FO ADSS 24H,NIU,30,0.00,1,
20231000,2847,M2847,9999,9,01,10020100400001,,,10/10/2023,01,0000,874,01,PREFORMADO 4 HILOS PARA FO ADSS 24H,NIU,10,0.00,1,
20231000,2848,M2848,9999,9,01,10020100400001,,,07/10/2023,01,0000,9806,01,PREFORMADO 4 HILOS PARA FO ADSS 24H,NIU,10,0.00,1,
20231000,4094,M4094,9999,9,01,10020100400001,,,29/10/2023,09,0000,874,01,PREFORMADO 4 HILOS PARA FO ADSS 24H,NIU,200,0.00,1,
20231000,4094,M4094,9999,9,01,10020402000012,,,29/10/2023,09,0000,874,01,FIBRA OPTICA ADSS 24H SPAN 200 (HDPE) OFC-24G.652D-FA-SA-S1,NIU,300,0.00,1,
